family,author,first_release,backbone,params,head,head_text,primitives,license,hf,code,calibration
Laya,Convai Innovations,2026-09-18,ModernBERT-large 395M (English); mmBERT-base 307M (multilingual),0.32B to 0.42B,b,Two-layer option-marker scorer plus an act/escalate head,"Choice, Score, Noul",Apache-2.0,convaiinnovations/laya;convaiinnovations/laya-multilingual,https://github.com/NandhaKishorM/laya,One temperature refit per question type and option count; raw ECE 0.466 to 0.081 (English)
Kev,Jared Palmer,2026-09-18,"Qwen2.5, Qwen3 and Qwen3.5 backbones",0.5B to 9B (LoRA r=16),b,LoRA adapter plus a pointer head reading option logits,"Choice, Noul, Score",Apache-2.0,jaredpalmer/kev-0.5b;jaredpalmer/kev-0.6b;jaredpalmer/kev-0.8b;jaredpalmer/kev-4b;jaredpalmer/kev-8b;jaredpalmer/kev-9b,https://github.com/jaredpalmer/kev,"T = 2.35 (0.8B) and T = 2.30 (9B), fitted per checkpoint"
Bespoke-Nimble,Bespoke Labs,2026-09-18,Qwen3.5-9B,9B (LoRA r=16),c,LoRA adapter scoring the allowed answer tokens directly,"Choice, Score, Noul",Apache-2.0,bespokelabs/Bespoke-Nimble-9B,https://github.com/bespokelabsai/nimble,T = 2.179 as fitted on checkpoint original-2676; later revision ships at default temperature
decider,Mapika,2026-09-16,Qwen3.5 backbones,0.8B to 35B-A3B,c,"Letter-logit readout from the LM head, divided by a stored temperature","Noul, Choice, Score",Apache-2.0,Mapika/decider-0.8b;Mapika/decider-2b;Mapika/decider-4b;Mapika/decider-35b-a3b,https://github.com/Mapika/decider,"T = 1.30 (2b, v10); other sizes store 1.03 to 1.94"
this-that-model,FLock.io,2026-09-20,decider-2b (Qwen3.5-style hybrid),1.9B,c,Inherits the decider-2b letter-logit readout,Choice-style typed decisions,MIT,flock-io/this-that-model-1.0;flock-io/this-that-model-1.1;flock-io/this-that-model-1.2,https://github.com/FLock-io/this-that-model,Not disclosed for 1.0 and 1.1; 1.2 reports 0.009 Brier on a third-party cohort
OpenThai-SystemOne,iApp / OpenThaiGPT,2026-09-20,"Qwen3.5-0.8B, continued pretraining on Thai text",0.75B,a,256-way slot head replacing the LM head,"Choice (up to 255), Score, Noul",Apache-2.0,iapp/OpenThai-SystemOne,,"Per-type learned temperatures (choice 1.055, noul 1.047, score 1.008)"
Von,wfzyx,2026-09-19,ModernBERT-large,0.40B,b,Option-marker head with an order-invariant attention mask (v1.2),"Choice-style, Noul",Apache-2.0,wfzyx/von-1.0,https://github.com/wfzyx/von,Input-conditioned calibration map; ECE 0.045 to 0.109 across difficulty tiers
Decision-1.0,llm-semantic-router,2026-09-21,Qwen3.5-2B (Sol); Qwen3.5-4B and 9B siblings,2B (Sol),b,Shared candidate head reading candidate endpoints and the query vector,"Choice (2 to 255), Noul, Score",Apache-2.0,llm-semantic-router/Decision-1.0-Sol-2B,,Not disclosed
Open-Jev,Zefan Cai,2026-09-20,Qwen3.5-9B,9B (LoRA r=8),c,Scalar head initialized from a Yes-minus-No readout,"Choice, Noul, Score","Apache-2.0 (weights), MIT (code)",ZefanCai/Open-Jev-9B,https://github.com/Zefan-Cai/Open-Jev,T = 1.897 on 512 calibration rows; test ECE 0.0077
open-jev-deberta,kotoba-lang,2026-09-18,DeBERTa-v3-large,0.43B,d,Three-layer scoring head over pooled question and option representations,"Choice (up to 255), Score, Noul",Apache-2.0,com-kotobalabs/open-jev-deberta-v3-large,https://github.com/kotoba-lang/typed-decisions,Post-hoc temperature on a validation split; in-domain ECE 0.022
System One scorer,pngwn,2026-09-16,Qwen3.5-4B,4.2B (LoRA r=16),d,"Sequence-classification head scoring each (state, question, option) triple","Noul, Choice, Score",CC-BY-NC-4.0,pngwn/system-one-qwen3.5-4b-scorer,,T = 1.75; ECE 0.135 to 0.044 as served
jev-lite,vagmi,2026-09-19,"Gemma 4 E4B (QLoRA, 4-bit)",8.0B total,c,Label-token readout at the option-letter positions,Choice-style,Gemma license,vagmi/jev-lite,,See card
Verdict,Heman10x-NGU,2026-09-17,ModernBERT plus GLiClass,0.15B,,Non-autoregressive typed-question scorer (GitHub only),"Choice, Score, Noul",not stated,,https://github.com/Heman10x-NGU/Verdict-open-jev,Not disclosed as a scalar
SemIf,TheoLeeCJ,2026-09-15,"MiniCPM5-2B, Qwen3.5-4B, Qwen3.8-27B",2B to 27B,,Reads option probabilities from a frozen backbone (GitHub only),"Choice, Noul",MIT,,https://github.com/TheoLeeCJ/SemIf-OpenJev,Per-workload temperature calibration
OpenDecision,deepanwadhwa,2026-09-17,ModernBERT-large zero-shot v2.0,0.40B,,Zero-shot classification head behind a vendor-compatible endpoint (GitHub only),"Choice, Noul, Score, Relation",Apache-2.0,,https://github.com/deepanwadhwa/OpenDecision,Not disclosed
