name,repo,category,license,created,stars,description
arbiter,https://github.com/0xBakeer/arbiter,local_server,MIT,2026-09-20,23,"Serve typed-decision (System 1) models — Laya or your own — on NVIDIA GPUs or Apple Silicon, with a Jev-compatible API and coding-agent integrations"
laya-server,https://github.com/1Panel-dev/laya-server,local_server,Apache-2.0,2026-09-23,44,"A self-hosted API and web interface for Laya’s structured decision models, compatible with the TypeSafe Jev API format."
laya-ko-decision-onnx,https://github.com/2nugu/laya-ko-decision-onnx,open_model_training,Apache-2.0,2026-09-23,1,Korean fine-tuned Laya decision model. Includes PyTorch training pipeline and ONNX export scripts for Rust integration.
jev-benchmarks,https://github.com/AbdelStark/jev-benchmarks,evaluation,Apache-2.0,2026-09-17,17,"Probability-aware evaluation for typed decision models: calibration, selective risk, latency, and reproducible benchmarks."
open-spark-jev,https://github.com/abhishek085/open-spark-jev,open_model_training,Apache-2.0,2026-09-20,15,"Open-source, local decision models inspired by TypeSafe’s Jev and System One - built on Qwen3 for NVIDIA DGX Spark."
jevcal,https://github.com/abhixhek/jevcal,evaluation,MIT,2026-09-18,10,"Stop guessing confidence thresholds: calibrate, threshold, and drift-check typed decision models (TypeSafe Jev) against an LLM teacher."
decision-systems-bakeoff,https://github.com/actuallyrizzn/decision-systems-bakeoff,evaluation,NOASSERTION,2026-09-22,1,Reproduce Flybrain · Jev · Laya decision bakeoff on locked public rows
laya-cuda,https://github.com/adamjen/laya-cuda,local_server,Apache-2.0,2026-09-23,1,CUDA benchmark harness + RTX 3090 matrix for the Laya typed-decision checkpoints (ported from mizorewww/laya-mlx)
chinese-workflow-decision-bench,https://github.com/Adkid-Zephyr/chinese-workflow-decision-bench,evaluation,MIT,2026-09-21,1,"Feishu message classification benchmark: 64 synthetic scenarios, reusable classifier adapters, and audited Jev vs Laya results."
laya-mps,https://github.com/afshinm/laya-mps,local_server,MIT,2026-09-21,19,Run Jev-style typed decisions locally on your Mac with low RAM usage and fast responses
system-one-gemma,https://github.com/akash-kamat/system-one-gemma,open_model_training,unknown,2026-09-17,4,"Open-source Jev-style System One decision model. Gemma 3 270M with a scoring head — fast, calibrated decisions in a single forward pass. No text generation. Inspired by TypeSafe.ai's Jev."
laya-lab,https://github.com/Alevsk/laya-lab,evaluation,MIT,2026-09-23,1,"Self-hosted bootstrap of the Laya decision engine, with six runnable scenarios that measure what it can and cannot do on Apple Silicon"
jevk5,https://github.com/allebee/jevk5,open_model_training,Apache-2.0,2026-09-22,77,JevK5: open-weight alternative to TypeSafe Jev. Typed decisions with probabilities in one forward pass; Apache-2.0 weights and code.
sys1,https://github.com/alvarobartt/sys1,local_server,NOASSERTION,2026-09-22,34,"System One compatible API for open decision models, written in Rust."
jev-rerank-bench,https://github.com/anessbelbati/jev-rerank-bench,evaluation,MIT,2026-09-16,7,"Can a decision model beat dedicated rerankers? TypeSafe Jev vs Cohere Rerank 4 vs ZeroEntropy zerank-2 vs a chat-model baseline: 14 datasets, every raw API response, bootstrap ranges on every gap."
Intent-Router,https://github.com/angel291592/Intent-Router,integration,MIT,2026-09-22,57,"Intent compiler for AI agents — converges vague requests into typed IntentSpec contracts (probe, ask, or halt before routing), the input layer for routers and typed-decision models like Jev & Laya"
laya-vs-dijkstra,https://github.com/antonellof/laya-vs-dijkstra,evaluation,Apache-2.0,2026-09-24,1,"Laya MLX typed decisions vs Dijkstra on seeded weighted mazes, side-by-side replay on Apple Silicon"
laya-rust,https://github.com/aovestdipaperino/laya-rust,local_server,Apache-2.0,2026-09-20,8,"Pure-Rust inference for the Laya non-autoregressive typed-decision model (ModernBERT-large + RL decision head), on candle"
laya-rs,https://github.com/apiplant/laya-rs,local_server,Apache-2.0,2026-09-19,8,"Rust reimplementation of Laya, a sub-35ms non-autoregressive typed-decision engine (ModernBERT encoder + RLCD-trained decision head), built from scratch on candle."
Kev,https://github.com/arjun988/Kev,open_model_training,Apache-2.0,2026-09-22,9,Open-source System One decision engine. Typed choice / score / noul with calibrated probabilities. Self-host with Ollama or any chat-completions-compatible model. Apache-2.0.
